"categoryId","categoryTitle","chargeId","chargeCode","chargeTitle","chargeDescription","degreeId","degreeLabel","sourceCode","sourceTitle","classification","tags","severityScore","baseFine","baseTime","modifierIds","liabilityOptions","legalOverview","legalPrinciples","hasLegalPrinciples"
"offenses-against-persons","Offenses Against Persons","assault","EF-PC-01-001","Assault","Threatening conduct, attempted force, or unlawful force creating fear of harm or causing physical harm.","simple-assault","Simple Assault","PC-1001","Simple Assault","misdemeanor","misdemeanor;person;victim-specific;violent","22.2","150","1","public-servant-victim;cooperation;minor-injury;multiple-victims;prior-conviction;voluntary-surrender;first-offense;citation-discretion","principal fine x1 time x1","Simple assault focuses on intentional conduct that creates reasonable fear of imminent physical harm or offensive contact.","Physical contact is not required if the victim reasonably believed harm was imminent. | The threat must be immediate rather than vague, conditional, or only future-facing. | Reports should document words, gestures, distance, weapons, victim reaction, and why the fear was reasonable.","True"
"offenses-against-persons","Offenses Against Persons","assault","EF-PC-01-001","Assault","Threatening conduct, attempted force, or unlawful force creating fear of harm or causing physical harm.","assault","Assault","PC-1002","Assault","misdemeanor","misdemeanor;person;victim-specific;violent","116.9","285","10","public-servant-victim;cooperation;minor-injury;weapon-used;multiple-victims;prior-conviction;voluntary-surrender;first-offense","principal fine x1 time x1","Assault focuses on intentional conduct that creates reasonable fear of imminent serious physical harm.","Physical contact is not required if the victim reasonably believed serious harm was imminent. | The conduct should involve a more serious threatened harm than simple assault based on words, gestures, weapon presence, proximity, or circumstances. | Shooting at, stabbing at, swinging a deadly weapon at, or otherwise using force likely to cause serious injury may support Assault with the weapon-used modifier even if the victim is not hit, injured, or placed into Stage 1 incapacitation. | If reports show a specific intent to kill plus a direct step toward killing, attempted murder may apply instead of or in addition to Assault; absent that intent, weapon-based attacks that do not cause Stage 1 should ordinarily remain in Assault with the weapon-used modifier. | Reports should document the threat, victim reaction, distance, ability to carry out the threat, weapons or dangerous instruments, and why serious harm was reasonably feared.","True"
"offenses-against-persons","Offenses Against Persons","assault","EF-PC-01-001","Assault","Threatening conduct, attempted force, or unlawful force creating fear of harm or causing physical harm.","aggravated-assault","Aggravated Assault","PC-1003","Aggravated Assault","felony","felony;person;victim-specific;violent","168","325","15","public-servant-victim;cooperation;weapon-used;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense","principal fine x1 time x1","Aggravated assault focuses on intentional unlawful force or violence that actually causes physical harm.","This degree requires physical harm or injury, not only fear of future harm. | Use of a weapon or dangerous instrument should be documented and may support the weapon-used modifier when applicable. | A weapon-based attack that causes injury but does not place the victim into Stage 1 incapacitation should ordinarily be charged as Aggravated Assault with the weapon-used modifier unless the facts show intent to kill. | When a victim reaches Stage 1 incapacitation, officers should evaluate attempted murder, torture, aggravated battery, or homicide-stage charges based on intent, continued harm, and whether the victim later reaches Stage 2. | Reports should document the force used, injuries, medical treatment, weapon or instrument, witness accounts, and any self-defense or consent claim.","True"
"offenses-against-persons","Offenses Against Persons","battery","EF-PC-01-002","Battery","Unlawful physical contact, force, or violence causing bodily injury or offensive contact.","battery","Battery","PC-1005","Battery","misdemeanor","misdemeanor;person;victim-specific;violent","166.6","275","15","public-servant-victim;cooperation;minor-injury;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense","principal fine x1 time x1","Battery focuses on unlawful physical contact or force that causes injury or offensive contact.","The contact may be direct or indirect, including contact through an object or item closely connected to the victim. | Battery requires actual contact or force, unlike assault which may be based on reasonable fear without contact. | Reports should document the contact, injury or offensive nature, victim reaction, physical evidence, witnesses, and any self-defense or consent claim.","True"
"offenses-against-persons","Offenses Against Persons","battery","EF-PC-01-002","Battery","Unlawful physical contact, force, or violence causing bodily injury or offensive contact.","aggravated-battery","Aggravated Battery","PC-1006","Aggravated Battery","felony","felony;person;victim-specific;violent","219.4","375","20","public-servant-victim;cooperation;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense","principal fine x1 time x1","Aggravated battery focuses on intentional unlawful force that causes more serious bodily injury or harmful contact.","The conduct should involve intentional force and actual injury, significant pain, or harmful offensive contact. | Use of a weapon, multiple victims, protected public-servant status, or lack of aid should be documented for applicable modifiers. | Reports should document injuries, medical treatment, force used, weapon or instrument, witness accounts, victim statements, and any justification claimed.","True"
"offenses-against-persons","Offenses Against Persons","manslaughter","EF-PC-01-003","Manslaughter","Unlawful killings caused without murder-level malice, including criminal negligence and vehicle-related negligent killings.","involuntary-manslaughter","Involuntary Manslaughter","PC-1007","Involuntary Manslaughter","felony","felony;homicide;person;vehicle-related;victim-specific;violent","227.4","750","20","cooperation;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense","principal fine x1 time x1","Involuntary manslaughter focuses on an unintentional killing caused by criminal negligence or a non-murder unlawful act.","The death must be caused by the suspect's criminally negligent conduct, criminal accident, or unlawful act. | This degree should be distinguished from murder when facts show malice, intent to kill, or extreme reckless disregard for life. | When both Stage 1 incapacitation and Stage 2 death result from accidental, negligent, or otherwise unintentional conduct, Involuntary Manslaughter is the default homicide charge if criminal negligence or an unlawful act caused the death. | If the suspect intentionally caused Stage 1 or knowingly allowed Stage 2 to occur after creating a life-threatening condition, officers should evaluate murder rather than manslaughter. | Reports should document cause of death, suspect conduct, negligence facts, timeline, witnesses, medical findings, and why murder-level intent or malice is absent.","True"
"offenses-against-persons","Offenses Against Persons","manslaughter","EF-PC-01-003","Manslaughter","Unlawful killings caused without murder-level malice, including criminal negligence and vehicle-related negligent killings.","vehicular-manslaughter","Vehicular Manslaughter","PC-1008","Vehicular Manslaughter","felony","felony;homicide;person;vehicle-related;victim-specific;violent","277.4","750","25","cooperation;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense","principal fine x1 time x1","Vehicular manslaughter focuses on a death caused by negligent or unlawful vehicle operation.","The suspect must be operating or in actual physical control of a vehicle and that operation must cause the death. | This degree should be distinguished from ordinary traffic offenses and from murder when facts show intentional killing or extreme disregard for life. | When vehicle operation accidentally or negligently causes Stage 1 incapacitation and the victim later reaches Stage 2, Vehicular Manslaughter is the default charge if the death is caused by the vehicle conduct and murder-level intent is absent. | If the vehicle is intentionally used as a weapon to cause Stage 1 or Stage 2, officers should evaluate attempted murder or murder instead of treating the case only as vehicular manslaughter. | Reports should document vehicle operation, collision facts, traffic violations, speed, impairment if any, cause of death, witnesses, and crash reconstruction or scene evidence.","True"
"offenses-against-persons","Offenses Against Persons","murder","EF-PC-01-004","Murder","Unlawful killings committed with malice, intent, premeditation, felony-murder circumstances, or related attempt and accessory liability.","second-degree-murder","Second Degree Murder","PC-1010","Second Degree Murder","felony","felony;homicide;person;victim-specific;violent","441.8","1750","40","public-servant-victim;cooperation;multiple-victims;medical-aid-rendered;prior-conviction;minimal-participation;voluntary-surrender;first-offense","principal fine x1 time x1;accessory-to-second-degree-murder [PC-1011] fine x0.2857 time x0.625;attempted-murder-of-a-civilian [PC-1009] fine x0.8571 time x0.75;conspiracy [PC-5013] fine x0.5 time x0.5","Second degree murder focuses on unlawful killing with malice or extreme reckless disregard without premeditation.","The killing may be intentional or based on conscious disregard for human life, but it lacks the planning or deliberation required for first degree murder. | Intentional Stage 1 incapacitation followed by Stage 2 death through the bleed-out timer is ordinarily Second Degree Murder when the suspect created a life-threatening condition but the facts do not show premeditation, continued damage, or deliberate prevention of rescue. | Shooting at or otherwise attacking a person with a deadly weapon without causing Stage 1 should ordinarily be charged as Assault with the weapon-used modifier unless independent facts show a specific intent to kill and a direct step toward killing. | Attempted murder and accessory liability should use the listed liability options when the facts support those roles. | Reports should document cause of death, suspect intent or reckless disregard, weapon or method, timeline, statements, witnesses, and why first degree premeditation is not established.","True"
"offenses-against-persons","Offenses Against Persons","murder","EF-PC-01-004","Murder","Unlawful killings committed with malice, intent, premeditation, felony-murder circumstances, or related attempt and accessory liability.","first-degree-murder","First Degree Murder","PC-1012","First Degree Murder","felony","felony;homicide;person;victim-specific;violent","550","2500","50","public-servant-victim;cooperation;multiple-victims;medical-aid-rendered;prior-conviction;minimal-participation;voluntary-surrender;first-offense","principal fine x1 time x1;accessory-to-first-degree-murder [PC-1013] fine x0.6 time x0.7;accessory-to-the-murder-of-a-public-servant-or-peace-officer [PC-1016] fine x2 time x1;attempted-murder-of-a-public-servant-or-peace-officer [PC-1015] fine x3.8 time x1.6;conspiracy [PC-5013] fine x0.5 time x0.5","First degree murder is reserved for premeditated killings and qualifying felony-murder circumstances.","Premeditation may be shown by planning, motive, preparation, manner of killing, prior threats, or other facts showing reflection before the act. | Premeditation does not require advance knowledge of the victim's exact identity if the suspect deliberately targeted a specific person, identifiable group, occupied location, occupied vehicle, or other sufficiently defined target. | In Stage 1 and Stage 2 terms, intentionally continuing to damage an already incapacitated Stage 1 victim until they reach Stage 2 should ordinarily be treated as First Degree Murder. | A Stage 2 death caused by the bleed-out timer may support First Degree Murder when the suspect deliberately uses the delay as the killing method, including by preventing aid, delaying rescue, hiding or moving the victim, threatening responders, guarding the scene, or otherwise ensuring death after time for reflection. | Intentional Stage 1 incapacitation may support attempted murder when reports show intent to kill through weapon choice, target area, repeated attacks, statements, pursuit of the victim, or other circumstances showing the suspect meant to cause death rather than only injury. | Qualifying felony-murder circumstances should be limited to inherently dangerous major felonies such as robbery, carjacking, kidnapping, hostage taking, arson, burglary or home-invasion conduct, criminal use of explosives, or violent escape or jailbreak. | Low-level, possession-based, regulatory, paperwork, licensing, or nonviolent status felonies should not qualify for first degree felony-murder treatment unless separate facts show premeditation or another qualifying dangerous felony. | Public-servant murder, attempted murder of a public servant, accessory liability, and conspiracy should use the listed liability options and modifiers when supported. | Reports should document cause of death, planning evidence, timeline, weapon or method, felony connection if any, victim status, statements, witnesses, and each participant's role.","True"
"offenses-against-persons","Offenses Against Persons","unlawful-imprisonment","EF-PC-01-005","Unlawful Imprisonment","Intentional restraint or confinement of another person without consent or lawful authority.","unlawful-imprisonment","Unlawful Imprisonment","PC-1017","Unlawful Imprisonment","misdemeanor","misdemeanor;person;victim-specific","27.3","300","1","public-servant-victim;cooperation;multiple-victims;prior-conviction;voluntary-surrender;first-offense;citation-discretion","principal fine x1 time x1","Unlawful imprisonment focuses on intentional restriction of another person's movement without consent or lawful authority.","The restraint may be physical, by threat, by locked space, by blocking exits, or by other conduct that prevents free movement. | Brief obstruction or ordinary argument should not be charged unless the facts show meaningful restraint or detention. | Reports should document how movement was restricted, duration, location, victim statements, threats or force, exits available, and any claimed legal authority.","True"
